BLINK_TX	$s:A3AB	-14000	3000	4900	#A8F983	sub_CED0		0
ITEM	$s:A8A1	-13000	1500	-25000	#929D77	<script>		0
ITEM	$s:A8A2	3000	1500	-24000	#929D77	<script>		0
ITEM	$s:A8A3	2000	1500	-25000	#929D77	<script>		0
ITEM	$s:A8A4	1500	1500	-24000	#929D77	<script>		0
ITEM	$s:13C5	-500	1500	-23500	#929D77	<script>		0
ITEM	$s:13C6	12500	1500	-27000	#929D77	<script>		0
ITEM	$s:13C7	13500	1500	-27000	#929D77	<script>		0
ITEM	$s:13C8	15000	1500	-25500	#929D77	<script>		0
ITEM	$s:13C9	24000	1500	-13000	#929D77	<script>		0
ITEM	$s:13CA	25000	1500	-12000	#929D77	<script>		0
ITEM	$s:13CB	26000	1500	-11500	#929D77	<script>		0
ITEM	$s:13CC	26000	1500	-10500	#929D77	<script>		0
ITEM	$s:13CD	27000	1500	-10000	#929D77	<script>		0
ITEM	$s:13CE	27000	1500	-9000	#929D77	<script>		0
ITEM	$s:13E5	24500	1500	-9000	#929D77	<script>		0
ITEM	$s:13E6	21500	1500	1000	#929D77	<script>		0
ITEM	$s:13E7	23500	1500	2500	#929D77	<script>		0
ITEM	$s:13E8	23500	1500	3500	#929D77	<script>		0
ITEM	$s:13E9	23500	1500	5000	#929D77	<script>		0
$s:A9C5	$s:2A26	-16500	5000	-1000	#C595BB	<script>	[512, 256, 0]	0
$s:A9C5	$s:2A27	-21500	5000	3000	#C595BB	<script>	[512, 256, 0]	0
$s:A9C5	$s:854D	-20500	5000	-15000	#C595BB	<script>	[512, 0, 0]	0
$s:A9C5	$s:854E	-13500	5000	-25000	#C595BB	<script>	[720, 210, 0]	0
$s:A9C5	$s:854F	-4500	5000	-24250	#C595BB	<script>	[680, 0, 0]	0
$s:A9C5	$s:8546	-1000	5000	-25500	#C595BB	<script>	[512, 0, 0]	0
$s:A9C5	$s:8548	1000	5000	-25500	#C595BB	<script>	[512, 0, 0]	0
$s:A9C5	$s:854A	3000	5000	-25500	#C595BB	<script>	[512, 0, 0]	0
CLAYMORE	$s:5C2A	14800	1500	-23500	#9D9DA4	<script>	[0, 2600, 0]	0
CLAYMORE	$s:5C2B	13000	1500	-27125	#9D9DA4	<script>	[0, 0, 0]	0
CLAYMORE	$s:5C2C	14000	1500	-26500	#9D9DA4	<script>	[0, 3256, 0]	0
CLAYMORE	$s:5C2D	11500	1500	-23505	#9D9DA4	<script>	[0, 1024, 0]	0
CLAYMORE	$s:5C2E	14800	1500	-24750	#9D9DA4	<script>	[0, 3584, 0]	0
$s:A9C5	$s:854B	25500	5000	2250	#C595BB	<script>	[512, 0, 0]	0
$s:A9C5	$s:854C	25500	5000	4000	#C595BB	<script>	[512, 0, 0]	0
DOOR	$s:1D96	-16250	1500	1000	#8BCF66	<script>	0	0
DOOR	$s:1DB6	-20250	1500	-13000	#8BCF66	<script>	0	0
DOOR	$s:1DD6	-11000	1500	-20250	#8BCF66	<script>	0	0
DOOR	$s:1DF6	1000	1500	-20250	#8BCF66	<script>	0	0
DOOR	$s:1E16	13000	1500	-22250	#8BCF66	<script>	0	0
DOOR	$s:1E36	22250	1500	-11000	#8BCF66	<script>	0	0
DOOR	$s:1E56	20250	1500	3000	#8BCF66	<script>	0	0
$s:118C	$s:4A2F	29000	6500	12000	#9E9D8A	<script>		0
DYNWALL	$s:AACE	-2500	0	24750	#B06DCD	<script>		0
DOOR	$s:55B9	-1500	0	24250	#8BCF66	<script>	0	0
CAMERA_SHAKE	$s:EF22	-12636	3604	10040	#BBF9B6	<script>	5000	0
WALL	$s:9B97	4201	1500	-16766	#6DE680	<script>	[0, -1130, 0]	0
WALL	$s:7554	4201	1500	-16766	#6DE680	<script>	[0, -1130, 0]	0
DYNWALL	$s:ED99	4250	1500	-17210	#B06DCD	<script>		0
DYNWALL	$s:EDD9	3750	1500	-15710	#B06DCD	<script>		0
DYNWALL	$s:EDB9	4400	1500	-17210	#B06DCD	<script>		0
DYNWALL	$s:EDF9	4250	1500	-17210	#B06DCD	<script>		0
DYNFLOOR	WOLF2	4050	1500	-18000	#CB9F71	<script>		0
